name,phone,phone.phones_enricher.carrier_name,city,county,state,longitude,h3,time_zone,plus_code,area_service,rating,reviews,reviews_link,reviews_tags
Montador de móveis Vila Velha 997494624,+55 27 99749-4624,,Vila Velha,Coqueiral de Itaparica,State of Espírito Santo,"-40,3044754",89a895768d7ffff,America/Sao_Paulo,,FALSE,5,172,https://search.google.com/local/reviews?placeid=ChIJLebFIJQVuAARyZv0IBl_NoY&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis Campo largo,+55 41 99966-8204,TIM,Campo Largo,Jardim Cristo Rei,State of Paraná,"-49,5606427",89a804d0a23ffff,America/Sao_Paulo,,FALSE,"4,8",59,https://search.google.com/local/reviews?placeid=ChIJbWrxNCQX3ZQResSGfNt9P-I&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis Erick Acunha,+55 51 98053-0829,,Porto Alegre,Jardim Carvalho,State of Rio Grande do Sul,"-51,1481257",89a90129ed7ffff,America/Sao_Paulo,,FALSE,"4,9",73,https://search.google.com/local/reviews?placeid=ChIJX4vxHWh3GZURkp3XyYi1hGE&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis / Canoas,+55 51 98059-9355,VIVO Participacoes SA (VIVO),Canoas,Mathias Velho,State of Rio Grande do Sul,"-51,2035915",89a90e90e57ffff,America/Sao_Paulo,,FALSE,5,20,https://search.google.com/local/reviews?placeid=ChIJQ2iDNTrGYiYR2cdIdQewOOM&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis / Canoas,+55 51 98059-9355,VIVO Participacoes SA (VIVO),Canoas,Mathias Velho,State of Rio Grande do Sul,"-51,2035915",89a90e90e57ffff,America/Sao_Paulo,,FALSE,5,20,https://search.google.com/local/reviews?placeid=ChIJQ2iDNTrGYiYR2cdIdQewOOM&q=*&authuser=0&hl=en&gl=BR,
montador de móveis,+55 51 98110-7364,,Gravataí,Jardim do Cedro,State of Rio Grande do Sul,"-51,0065057",89a90e9865bffff,America/Sao_Paulo,,FALSE,5,1,https://search.google.com/local/reviews?placeid=ChIJ2bTUNAANGZURzG2SsVCSazs&q=*&authuser=0&hl=en&gl=BR,
Lucas Zavalhia - ZF montagem de móveis,+55 51 98152-3768,,Novo Hamburgo,Rincão,State of Rio Grande do Sul,"-51,1543279",89a90e8c61bffff,America/Sao_Paulo,,FALSE,5,54,https://search.google.com/local/reviews?placeid=ChIJZ7SQ8vtDGZURz7czYds-NhU&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis,+55 51 98159-7269,,Cachoeirinha,Vila Monte Carlo,State of Rio Grande do Sul,"-51,0851678",89a90e9a517ffff,America/Sao_Paulo,,FALSE,"4,9",107,https://search.google.com/local/reviews?placeid=ChIJsddviahzGZURnEUM6JXHJBA&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis,+55 51 98159-7269,,Cachoeirinha,Vila Monte Carlo,State of Rio Grande do Sul,"-51,0851678",89a90e9a517ffff,America/Sao_Paulo,,FALSE,"4,9",107,https://search.google.com/local/reviews?placeid=ChIJsddviahzGZURnEUM6JXHJBA&q=*&authuser=0&hl=en&gl=BR,
Lucas Santos- Montador de Móveis,+55 51 98165-8050,,Porto Alegre,Passo d'Areia,State of Rio Grande do Sul,"-51,1635744",89a90129ab7ffff,America/Sao_Paulo,,FALSE,,,,
"MONTADOR DE MOVEIS ,FRETES E CONSTRUCAO CIVIL",+55 51 98182-5500,,Porto Alegre,Cascata,State of Rio Grande do Sul,"-51,198756",89a9012843bffff,America/Sao_Paulo,,FALSE,,,,
"MONTADOR DE MOVEIS ,FRETES E CONSTRUCAO CIVIL",+55 51 98182-5500,,Porto Alegre,Cascata,State of Rio Grande do Sul,"-51,198756",89a9012843bffff,America/Sao_Paulo,,FALSE,,,,
Montador de Móveis Cachoeirinha,+55 51 98200-9249,,Cachoeirinha,Jardim Betânia,State of Rio Grande do Sul,"-51,0878161",89a90e9aeabffff,America/Sao_Paulo,,FALSE,,,,
Montador de Móveis Sul,+55 51 98269-8864,,Porto Alegre,Jardim Itu-Sabará,State of Rio Grande do Sul,"-51,1424404",89a90129a4fffff,America/Sao_Paulo,,FALSE,"4,8",87,https://search.google.com/local/reviews?placeid=ChIJ73doD212GZUR81tTeea5UI0&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis Sul,+55 51 98269-8864,,Porto Alegre,Jardim Itu-Sabará,State of Rio Grande do Sul,"-51,1424404",89a90129a4fffff,America/Sao_Paulo,48XCXVQ5+F2,FALSE,"4,8",87,https://search.google.com/local/reviews?placeid=ChIJ73doD212GZUR81tTeea5UI0&q=*&authuser=0&hl=en&gl=BR,"editing, education, price, agility, speed, profession, competent, cost"
D kaefer montador de móveis,+55 51 98298-6411,,São Leopoldo,Rio dos Sinos,State of Rio Grande do Sul,"-51,1487458",89a90e81e27ffff,America/Sao_Paulo,,FALSE,5,3,https://search.google.com/local/reviews?placeid=ChIJI6mAg-BpGZUR4V-GPagh7Z0&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis - Sapucaia do Sul e Região,+55 51 98458-2861,Brasil Telecom GSM,Sapucaia do Sul,Centro,State of Rio Grande do Sul,"-51,1566603",89a90e83143ffff,America/Sao_Paulo,,FALSE,5,20,https://search.google.com/local/reviews?placeid=ChIJ24NuC7AADGMR9hQ7sF8QL1o&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis Canoas e Região,+55 51 98458-2861,Brasil Telecom GSM,Canoas,Centro,State of Rio Grande do Sul,"-51,1798121",89a90e903cbffff,America/Sao_Paulo,,FALSE,5,58,https://search.google.com/local/reviews?placeid=ChIJJ1OlghxxGZURX0WZE8M2tP8&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis Canoas e Região,+55 51 98458-2861,Brasil Telecom GSM,Canoas,Centro,State of Rio Grande do Sul,"-51,1798121",89a90e903cbffff,America/Sao_Paulo,,FALSE,5,58,https://search.google.com/local/reviews?placeid=ChIJJ1OlghxxGZURX0WZE8M2tP8&q=*&authuser=0&hl=en&gl=BR,
Montador De Móveis | Filipi Montagens,+55 51 98461-3495,,Cachoeirinha,Parque da Matriz,State of Rio Grande do Sul,"-51,0780099",89a90164b47ffff,America/Sao_Paulo,,FALSE,5,21,https://search.google.com/local/reviews?placeid=ChIJq5RySc51GZURhlO02ytymSQ&q=*&authuser=0&hl=en&gl=BR,
Montador de móveis / Fretes / Transportes / Mudanças Luciano,+55 51 98563-7590,,Alvorada,Maria Regina,State of Rio Grande do Sul,"-51,0554689",89a90164143ffff,America/Sao_Paulo,,FALSE,"4,9",295,https://search.google.com/local/reviews?placeid=ChIJifu6t591GZUREssxNkpEWN4&q=*&authuser=0&hl=en&gl=BR,
Montador de móveis - Derli,+55 51 98573-2403,,Cachoeirinha,Parque Granja Esperanca,State of Rio Grande do Sul,"-51,0775383",89a90e9a17bffff,America/Sao_Paulo,,FALSE,5,3,https://search.google.com/local/reviews?placeid=ChIJ-TnoZBlzGZUR4DofbL4FnF4&q=*&authuser=0&hl=en&gl=BR,
Montador de Moveis (Montador Guilherme),+55 51 98626-8334,,Viamão,São Lucas,State of Rio Grande do Sul,"-51,0782615",89a901664b3ffff,America/Sao_Paulo,,FALSE,5,658,https://search.google.com/local/reviews?placeid=ChIJqQzwh6ifGZUR4xD1Ak2iZCI&q=*&authuser=0&hl=en&gl=BR,
Montador de Moveis (Montador Guilherme),+55 51 98626-8334,,Viamão,São Lucas,State of Rio Grande do Sul,"-51,0782615",89a901664b3ffff,America/Sao_Paulo,,FALSE,5,657,https://search.google.com/local/reviews?placeid=ChIJqQzwh6ifGZUR4xD1Ak2iZCI&q=*&authuser=0&hl=en&gl=BR,
Ferreira Montador de Móveis Porto Alegre e Região,+55 51 98627-0113,,Porto Alegre,Cristo Redentor,State of Rio Grande do Sul,"-51,1594845",89a90129a37ffff,America/Sao_Paulo,,FALSE,5,234,https://search.google.com/local/reviews?placeid=ChIJ69zp7a13GZURRXnu4yZ3KlA&q=*&authuser=0&hl=en&gl=BR,
SC Montagem de Móveis,+55 51 98916-9456,,Canoas,Harmonia,State of Rio Grande do Sul,"-51,1992023",89a90e903afffff,America/Sao_Paulo,,FALSE,,,,
Montador de moveis módulados e planejados Menezes,+55 51 98988-4652,,Canoas,Mathias Velho,State of Rio Grande do Sul,"-51,2273439",89a90e908d7ffff,America/Sao_Paulo,,FALSE,5,4,https://search.google.com/local/reviews?placeid=ChIJcwjrKLJlGZUR8lhFXmaPyUc&q=*&authuser=0&hl=en&gl=BR,
AT Montador de Móveis,+55 51 99005-5089,,Novo Hamburgo,Canudos,State of Rio Grande do Sul,"-51,0920269",89a90e88973ffff,America/Sao_Paulo,,FALSE,5,43,https://search.google.com/local/reviews?placeid=ChIJ_-uzgqZBGZURkiYkUtLzBq8&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis,+55 51 99100-2798,,Canoas,Olaria,State of Rio Grande do Sul,"-51,1280201",89a90e9138fffff,America/Sao_Paulo,,FALSE,5,14,https://search.google.com/local/reviews?placeid=ChIJze6sM39lGZURtvjAAsDC6VU&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis,+55 51 99100-2798,,Canoas,Olaria,State of Rio Grande do Sul,"-51,1280201",89a90e9138fffff,America/Sao_Paulo,,FALSE,5,14,https://search.google.com/local/reviews?placeid=ChIJze6sM39lGZURtvjAAsDC6VU&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis,+55 51 99100-2798,,Canoas,Harmonia,State of Rio Grande do Sul,"-51,2249562",89a90e90c47ffff,America/Sao_Paulo,,FALSE,,,,
Montador de Móveis,+55 51 99100-2798,,Canoas,Harmonia,State of Rio Grande do Sul,"-51,2249562",89a90e90c47ffff,America/Sao_Paulo,,FALSE,,,,
TL MOVEIS MONTAGEM E DESMONTAGEM,+55 51 99130-0687,,Porto Alegre,São José,State of Rio Grande do Sul,"-51,1643055",89a90128253ffff,America/Sao_Paulo,,FALSE,5,157,https://search.google.com/local/reviews?placeid=ChIJCXd8SRQ05Q4RwODKoSDpoj8&q=*&authuser=0&hl=en&gl=BR,
Dk montador de móveis,+55 51 99144-4281,,Cachoeirinha,Jardim do Bosque,State of Rio Grande do Sul,"-51,0859071",89a90e9a193ffff,America/Sao_Paulo,,FALSE,,,,
"Montador de Móveis - Montagem, recorte e adaptações MONTEK CNPJ",+55 51 99165-4945,,Porto Alegre,Belém Velho,State of Rio Grande do Sul,"-51,1708963",89a9012b11bffff,America/Sao_Paulo,,FALSE,,,,
"Montador de Móveis - Montagem, recorte e adaptações MONTEK CNPJ",+55 51 99165-4945,,Porto Alegre,Belém Velho,State of Rio Grande do Sul,"-51,1708963",89a9012b11bffff,America/Sao_Paulo,,FALSE,,,,
ANS Montagens,+55 51 99210-8447,,Porto Alegre,Moinhos de Vento,State of Rio Grande do Sul,"-51,2017148",89a90129d27ffff,America/Sao_Paulo,,FALSE,5,1,https://search.google.com/local/reviews?placeid=ChIJKX0YOXF5GZURja7Q-ukZdMo&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis Porto Alegre,+55 51 99254-6094,,Porto Alegre,Coronel Aparício Borges,State of Rio Grande do Sul,"-51,1709759",89a90128673ffff,America/Sao_Paulo,,FALSE,,,,
Montador de Móveis Porto Alegre,+55 51 99254-6094,,Porto Alegre,Coronel Aparício Borges,State of Rio Grande do Sul,"-51,1709759",89a90128673ffff,America/Sao_Paulo,,FALSE,,,,
Montador de Móveis,+55 51 99304-9388,,Portão,Portão Velho,State of Rio Grande do Sul,"-51,2076044",89a90e8e387ffff,America/Sao_Paulo,,FALSE,,,,
Montador de Móveis em Gravataí- Artur,+55 51 99312-6286,,Gravataí,Nossa Chácara,State of Rio Grande do Sul,"-51,0391551",89a90e9a68bffff,America/Sao_Paulo,,FALSE,"4,9",63,https://search.google.com/local/reviews?placeid=ChIJDVlzGypwEikRaYqRq9zbT20&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis em Gravataí- Artur,+55 51 99312-6286,,Gravataí,Nossa Chácara,State of Rio Grande do Sul,"-51,0391551",89a90e9a68bffff,America/Sao_Paulo,,FALSE,"4,9",63,https://search.google.com/local/reviews?placeid=ChIJDVlzGypwEikRaYqRq9zbT20&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis,+55 51 99339-8790,,São Leopoldo,Arroio da Manteiga,State of Rio Grande do Sul,"-51,1914736",89a90e8e45bffff,America/Sao_Paulo,,FALSE,"4,9",30,https://search.google.com/local/reviews?placeid=ChIJ59k9sp9dGZURDMkPIgFlMKA&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis,+55 51 99339-8790,,São Leopoldo,Arroio da Manteiga,State of Rio Grande do Sul,"-51,1914736",89a90e8e45bffff,America/Sao_Paulo,,FALSE,"4,9",,,
"Raphael Montagem de móveis, reformas e pinturas.",+55 51 99410-4348,,Gravataí,Morada do Vale I,State of Rio Grande do Sul,"-51,0547038",89a90e9a07bffff,America/Sao_Paulo,,FALSE,5,61,https://search.google.com/local/reviews?placeid=ChIJfRDmVVOgcmURmzouCtHUqr4&q=*&authuser=0&hl=en&gl=BR,
Montador de Moveis Luis,+55 51 99651-7217,,Canoas,Mathias Velho,State of Rio Grande do Sul,"-51,2287215",89a90e90c63ffff,America/Sao_Paulo,,FALSE,5,17,https://search.google.com/local/reviews?placeid=ChIJQUOVYPhlGZURF60Do4Y_zU4&q=*&authuser=0&hl=en&gl=BR,
Montador de Moveis Luis,+55 51 99651-7217,,Canoas,Mathias Velho,State of Rio Grande do Sul,"-51,2287215",89a90e90c63ffff,America/Sao_Paulo,,FALSE,5,17,https://search.google.com/local/reviews?placeid=ChIJQUOVYPhlGZURF60Do4Y_zU4&q=*&authuser=0&hl=en&gl=BR,
Montador de móveis,+55 51 99717-2847,,Porto Alegre,Navegantes,State of Rio Grande do Sul,"-51,2057756",89a90e92453ffff,America/Sao_Paulo,,FALSE,,,,
Montador de móveis,+55 51 99717-2847,,Porto Alegre,Navegantes,State of Rio Grande do Sul,"-51,2057756",89a90e92453ffff,America/Sao_Paulo,,FALSE,,,,
Montador de móveis em sapiranga,+55 51 99727-6948,,Sapiranga,Vôo Livre,State of Rio Grande do Sul,"-50,9606279",89a90e1326fffff,America/Sao_Paulo,,FALSE,5,91,https://search.google.com/local/reviews?placeid=ChIJIVNoRdhzGZURdwUfAYb8jAs&q=*&authuser=0&hl=en&gl=BR,
AG montador de móveis,+55 51 99742-9935,,Sapucaia do Sul,Lomba da Palmeira,State of Rio Grande do Sul,"-51,1289802",89a90e83223ffff,America/Sao_Paulo,,FALSE,"4,9",37,https://search.google.com/local/reviews?placeid=ChIJ_dD-sP1vGZUR-sJSsNTay8k&q=*&authuser=0&hl=en&gl=BR,
"Montador de Móveis/ Fabricação, RA_MOVEIS7",+55 51 99777-5257,,Novo Hamburgo,Jardim Mauá,State of Rio Grande do Sul,"-51,1218978",89a90e8d497ffff,America/Sao_Paulo,,FALSE,5,6,https://search.google.com/local/reviews?placeid=ChIJASjL3fxDGZURabqRnPxK1AU&q=*&authuser=0&hl=en&gl=BR,
"Montador de Móveis/ Fabricação, RA_MOVEIS7",+55 51 99777-5257,,Novo Hamburgo,Jardim Mauá,State of Rio Grande do Sul,"-51,1218978",89a90e8d497ffff,America/Sao_Paulo,,FALSE,5,6,https://search.google.com/local/reviews?placeid=ChIJASjL3fxDGZURabqRnPxK1AU&q=*&authuser=0&hl=en&gl=BR,
BINSFELD montagem de móveis,+55 51 99860-3092,,Parobé,Guarani,State of Rio Grande do Sul,"-50,8436747",89a90ec5aabffff,America/Sao_Paulo,,FALSE,5,4,https://search.google.com/local/reviews?placeid=ChIJPzGzGI8jGZURMWGZ4iNRTaY&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis - Thayson,+55 51 99914-2307,,Cachoeirinha,Jardim Betânia,State of Rio Grande do Sul,"-51,113321",89a90e9a953ffff,America/Sao_Paulo,,FALSE,5,55,https://search.google.com/local/reviews?placeid=ChIJdaAISFxxGZURSdSXo6LWReM&q=*&authuser=0&hl=en&gl=BR,
Montador de Móveis Natan (Primo's Montagens),+55 51 99922-4617,,Alvorada,Maria Regina,State of Rio Grande do Sul,"-51,0534676",89a9016414bffff,America/Sao_Paulo,,FALSE,5,148,https://search.google.com/local/reviews?placeid=ChIJ_6xA4qd1GZUR2BBedMnDy7k&q=*&authuser=0&hl=en&gl=BR,
Tiago Oliveira montador de móveis,+55 51 99984-7604,,Porto Alegre,Santa Tereza,State of Rio Grande do Sul,"-51,2263205",89a901285a3ffff,America/Sao_Paulo,,FALSE,5,18,https://search.google.com/local/reviews?placeid=ChIJdy2dUJp5GZURgk_2gQx-1zI&q=*&authuser=0&hl=en&gl=BR,
Montador de móveis Viamão - Alex,+55 51 99990-8631,,Viamão,Sítio São José,State of Rio Grande do Sul,"-51,0217541",89a9017587bffff,America/Sao_Paulo,,FALSE,5,14,https://search.google.com/local/reviews?placeid=ChIJpVFjrQWjcS8RfqsYLF7dp_s&q=*&authuser=0&hl=en&gl=BR,
Morane,+55 51 99995-7577,,Campo Bom,Cargovision,State of Rio Grande do Sul,"-51,0619421",89a90e120a7ffff,America/Sao_Paulo,,FALSE,,,,
MONTAGEM DE MÓVEIS FERREIRA,+55 81 99697-7321,,Porto Alegre,São José,State of Rio Grande do Sul,"-51,1620484",89a9012864bffff,America/Sao_Paulo,,FALSE,5,4,https://search.google.com/local/reviews?placeid=ChIJIUh28wadGZUR7sAqw-aWN-A&q=*&authuser=0&hl=en&gl=BR,
MONTAGEM DE MÓVEIS FERREIRA,+55 81 99697-7321,,Porto Alegre,São José,State of Rio Grande do Sul,"-51,1620484",89a9012864bffff,America/Sao_Paulo,,FALSE,5,4,https://search.google.com/local/reviews?placeid=ChIJIUh28wadGZUR7sAqw-aWN-A&q=*&authuser=0&hl=en&gl=BR,